Tamaño;Comparaciones;Asignaciones;Tiempos
10000;32796;26535;700000
20000;69112;55986;1200000
30000;107273;86350;850000
40000;145820;117307;1250000
50000;186430;149037;1750000
60000;226084;181095;1800000
70000;267354;213765;2400000
80000;308841;246047;2800000
90000;350953;279041;3200000
100000;393610;312800;3450000
Tamaño;Comparaciones;Asignaciones;Tiempos
10000;32964;26610;900000
20000;69466;55922;950000
30000;107545;86429;1250000
40000;149026;117471;1350000
50000;186559;149056;1800000
60000;227202;181356;2050000
70000;267674;213458;2350000
80000;307593;246283;2850000
90000;348675;279142;3350000
100000;391231;312405;3800000



Tamaño;Comparaciones;Asignaciones;Tiempos
10000;32767;26607;800000
20000;69340;55944;900000
30000;107897;86309;1000000
40000;146291;117624;1200000
50000;185864;149503;1650000
60000;226260;181293;1650000
70000;266756;213291;2100000
80000;309902;246260;2600000
90000;349873;279097;2950000
100000;392133;312002;3200000



